gridid,glat,glon,gpop,vmax_gust,vmax_sust,sust_duration
13187,  34.5250, -83.9869,  29966,  0.00000,  0.00000,    0
13189,  33.4596, -82.4698,  21875,  0.00000,  0.00000,    0
13191,  31.4753, -81.4076,  14333, 26.05950, 17.48960,  315
13193,  32.3250, -84.0388,  14740,  0.00000,  0.00000,    0
13195,  34.1046, -83.2407,  28120,  0.00000,  0.00000,    0
13197,  32.3809, -84.5236,   8742,  0.00000,  0.00000,    0
13199,  33.0089, -84.6729,  21992,  0.00000,  0.00000,    0
13201,  31.1597, -84.7372,   6125,  0.00000,  0.00000,    0
13205,  31.2169, -84.1721,  23498,  0.00000,  0.00000,    0
13207,  33.0382, -83.9068,  26424,  0.00000,  0.00000,    0
13209,  32.1673, -82.5333,   9123,  0.00000,  0.00000,    0
13211,  33.6002, -83.4860,  17868,  0.00000,  0.00000,    0
13213,  34.7823, -84.7921,  39628,  0.00000,  0.00000,    0
13215,  32.4923, -84.9306, 189885,  0.00000,  0.00000,    0
13217,  33.5695, -83.8966,  99958,  0.00000,  0.00000,    0
13219,  33.8753, -83.4579,  32808,  0.00000,  0.00000,    0
13221,  33.9166, -83.1449,  14899,  0.00000,  0.00000,    0
13223,  33.9057, -84.8166, 142324,  0.00000,  0.00000,    0
13225,  32.5848, -83.8296,  27695,  0.00000,  0.00000,    0
13227,  34.4559, -84.4423,  29431,  0.00000,  0.00000,    0
13229,  31.3147, -82.2404,  18758, 26.05950, 17.48960,  240
13231,  33.1032, -84.3668,  17869,  0.00000,  0.00000,    0
13233,  34.0109, -85.1768,  41475,  0.00000,  0.00000,    0
13235,  32.2753, -83.4803,  12010,  0.00000,  0.00000,    0
13237,  33.3171, -83.3397,  21218,  0.00000,  0.00000,    0
13239,  31.8594, -85.0777,   2513,  0.00000,  0.00000,    0
13241,  34.8790, -83.4072,  16276,  0.00000,  0.00000,    0
13243,  31.7604, -84.7580,   7719,  0.00000,  0.00000,    0
13245,  33.4269, -82.0494, 200549,  0.00000,  0.00000,    0
13247,  33.6420, -84.0209,  85215,  0.00000,  0.00000,    0
13249,  32.2416, -84.3068,   5010,  0.00000,  0.00000,    0
13251,  32.7228, -81.6273,  14593, 26.05950, 17.48960,   60
13253,  30.9725, -84.8680,   8729,  0.00000,  0.00000,    0
